epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4260.63,0.88325,0.73133,1.09482,1,0.71084,0.84228,0.50151,1.4899,1.25388,1.39162,0.0006536,0.0006536,0.0006536
70,4316.27,0.8651,0.75555,1.12575,0.90675,0.64947,0.81291,0.42025,1.7087,1.30697,1.48903,0.0006338,0.0006338,0.0006338
71,4372.39,0.89073,0.7358,1.09909,0.89377,0.73333,0.81372,0.43867,1.58999,1.2906,1.39708,0.000614,0.000614,0.000614
72,4428.71,0.8992,0.70912,1.11979,1,0.86365,0.93057,0.53518,1.54234,0.99312,1.39471,0.0005942,0.0005942,0.0005942
73,4484.41,0.89641,0.72548,1.09847,1,0.8527,0.92103,0.53033,1.57872,1.16631,1.46238,0.0005744,0.0005744,0.0005744
74,4540.7,0.84156,0.73411,1.08783,0.75175,0.8,0.84396,0.49839,1.46944,1.40839,1.39173,0.0005546,0.0005546,0.0005546
75,4597.29,0.83097,0.69873,1.07489,1,0.53192,0.76896,0.47315,1.43928,1.53921,1.40071,0.0005348,0.0005348,0.0005348
76,4653.67,0.8378,0.69778,1.11463,1,0.79896,0.89394,0.57074,1.35133,0.93182,1.38287,0.000515,0.000515,0.000515
77,4709.76,0.82398,0.71674,1.10359,0.98631,0.8,0.90022,0.5342,1.39843,0.9652,1.33123,0.0004952,0.0004952,0.0004952
78,4766.34,0.83553,0.70562,1.10981,0.92055,0.77373,0.85888,0.5136,1.56198,1.10944,1.41767,0.0004754,0.0004754,0.0004754
79,4821.98,0.80191,0.70654,1.09758,0.89441,0.86667,0.87832,0.53043,1.5178,0.97874,1.39272,0.0004556,0.0004556,0.0004556
80,4877.4,0.7929,0.69484,1.09053,0.80024,0.86667,0.80604,0.47427,1.52431,1.03077,1.40568,0.0004358,0.0004358,0.0004358
81,4932.62,0.79349,0.6887,1.07931,0.82903,0.8,0.8133,0.48854,1.41745,1.17956,1.35093,0.000416,0.000416,0.000416
82,4988.35,0.83492,0.70944,1.09511,0.909,0.66602,0.7844,0.47838,1.43474,1.27428,1.37297,0.0003962,0.0003962,0.0003962
83,5044.56,0.80145,0.65335,1.0563,0.79696,0.73333,0.78814,0.50553,1.42029,1.24181,1.40217,0.0003764,0.0003764,0.0003764
84,5100.55,0.781,0.63195,1.05583,0.92787,0.85816,0.88346,0.52058,1.39893,0.96344,1.35154,0.0003566,0.0003566,0.0003566
85,5156.3,0.82826,0.65096,1.08586,0.92955,0.86667,0.89252,0.51755,1.44764,0.96702,1.40734,0.0003368,0.0003368,0.0003368
86,5212.24,0.79359,0.65077,1.07078,0.92685,0.84581,0.87097,0.49009,1.47617,1.0463,1.43621,0.000317,0.000317,0.000317
87,5267.65,0.78074,0.61612,1.07615,0.85346,0.86667,0.83832,0.49051,1.42247,1.03898,1.39526,0.0002972,0.0002972,0.0002972
88,5323.51,0.76668,0.61481,1.04889,0.92685,0.84578,0.86101,0.53186,1.40971,0.98421,1.34798,0.0002774,0.0002774,0.0002774
89,5379.06,0.76196,0.63043,1.0541,0.90967,0.8,0.84372,0.49617,1.44607,0.92971,1.35961,0.0002576,0.0002576,0.0002576
90,5434.26,0.80122,0.64037,1.06011,0.89771,0.8,0.8581,0.49769,1.46049,0.91771,1.37237,0.0002378,0.0002378,0.0002378
91,5489.45,0.65096,0.58241,1.02948,0.99171,0.8,0.86141,0.52149,1.44745,0.92985,1.33276,0.000218,0.000218,0.000218
92,5544.98,0.64291,0.50032,1.00273,0.99224,0.8,0.87399,0.5266,1.48873,0.96201,1.36984,0.0001982,0.0001982,0.0001982
93,5600.45,0.67081,0.49224,0.99594,0.98592,0.8,0.87571,0.5262,1.42516,0.96284,1.33112,0.0001784,0.0001784,0.0001784
94,5656.52,0.68042,0.50098,1.01787,0.98888,0.8,0.9025,0.5504,1.39771,0.86488,1.31896,0.0001586,0.0001586,0.0001586
95,5712.73,0.65663,0.5208,1.0207,0.98615,0.8,0.91375,0.57838,1.39389,0.87112,1.32833,0.0001388,0.0001388,0.0001388
96,5768.43,0.61163,0.47868,0.98337,0.99016,0.8,0.89813,0.56253,1.37847,0.91925,1.32479,0.000119,0.000119,0.000119
97,5823.99,0.56449,0.45845,0.95763,0.98945,0.8,0.89614,0.56329,1.40231,0.92177,1.34264,9.92e-05,9.92e-05,9.92e-05
98,5879.46,0.61693,0.4873,1.00033,0.99072,0.8,0.89917,0.54883,1.40989,0.8819,1.34326,7.94e-05,7.94e-05,7.94e-05
99,5935.09,0.60762,0.48977,1.01986,0.99322,0.8,0.90072,0.56004,1.42378,0.87223,1.35071,5.96e-05,5.96e-05,5.96e-05
100,5990.29,0.5751,0.44701,0.97621,0.99617,0.8,0.89575,0.54243,1.44347,0.89023,1.3598,3.98e-05,3.98e-05,3.98e-05
